storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,0.36873747494990017,0.07066234905903135,3.3287329351356507,8719
Harvey (2017),10,0.39679358717434887,0.0731912126638239,3.3287329351356507,8719
Harvey (2017),10,0.4248496993987976,0.07579310709209322,3.3287329351356507,8719
Harvey (2017),10,0.4529058116232463,0.07846353481967244,3.3287329351356507,8719
Harvey (2017),10,0.48096192384769587,0.0811967184483038,3.3287329351356507,8719
Harvey (2017),10,0.5090180360721446,0.08398567065938682,3.3287329351356507,8719
Harvey (2017),10,0.5370741482965933,0.08682231110393247,3.3287329351356507,8719
Harvey (2017),10,0.565130260521042,0.08969762663053847,3.3287329351356507,8719
Harvey (2017),10,0.5931863727454907,0.09260186877804787,3.3287329351356507,8719
Harvey (2017),10,0.6212424849699403,0.09552478025209295,3.3287329351356507,8719
Harvey (2017),10,0.649298597194389,0.09845584031799995,3.3287329351356507,8719
Harvey (2017),10,0.6773547094188377,0.10138451780674222,3.3287329351356507,8719
Harvey (2017),10,0.7054108216432864,0.1043005198421732,3.3287329351356507,8719
Harvey (2017),10,0.7334669338677351,0.10719402451160054,3.3287329351356507,8719
Harvey (2017),10,0.7615230460921847,0.11005588652539014,3.3287329351356507,8719
Harvey (2017),10,0.7895791583166334,0.11287780640355137,3.3287329351356507,8719
Harvey (2017),10,0.8176352705410821,0.11565245579999608,3.3287329351356507,8719
Harvey (2017),10,0.8456913827655308,0.11837355409890825,3.3287329351356507,8719
Harvey (2017),10,0.8737474949899804,0.12103589423068144,3.3287329351356507,8719
Harvey (2017),10,0.9018036072144291,0.12363531857420056,3.3287329351356507,8719
Harvey (2017),10,0.9298597194388778,0.12616864864712077,3.3287329351356507,8719
Harvey (2017),10,0.9579158316633265,0.12863357485093507,3.3287329351356507,8719
Harvey (2017),10,0.9859719438877752,0.13102851466670035,3.3287329351356507,8719
Harvey (2017),10,1.0140280561122248,0.13335244925479955,3.3287329351356507,8719
Harvey (2017),10,1.0420841683366735,0.13560474930271355,3.3287329351356507,8719
Harvey (2017),10,1.0701402805611222,0.13778500114076364,3.3287329351356507,8719
Harvey (2017),10,1.098196392785571,0.13989284360947152,3.3287329351356507,8719
Harvey (2017),10,1.1262525050100205,0.14192782496670833,3.3287329351356507,8719
Harvey (2017),10,1.1543086172344692,0.1438892873672688,3.3287329351356507,8719
Harvey (2017),10,1.182364729458918,0.14577628427011532,3.3287329351356507,8719
Harvey (2017),10,1.2104208416833666,0.14758753369576674,3.3287329351356507,8719
Harvey (2017),10,1.2384769539078153,0.1493214077504985,3.3287329351356507,8719
Harvey (2017),10,1.266533066132265,0.15097595643860293,3.3287329351356507,8719
Harvey (2017),10,1.2945891783567136,0.1525489616698584,3.3287329351356507,8719
Harvey (2017),10,1.3226452905811623,0.1540380156803791,3.3287329351356507,8719
Harvey (2017),10,1.350701402805611,0.15544061692746358,3.3287329351356507,8719
Harvey (2017),10,1.3787575150300606,0.15675427595272912,3.3287329351356507,8719
Harvey (2017),10,1.4068136272545093,0.15797662374210178,3.3287329351356507,8719
Harvey (2017),10,1.434869739478958,0.15910551570565498,3.3287329351356507,8719
Harvey (2017),10,1.4629258517034067,0.16013912546892442,3.3287329351356507,8719
Harvey (2017),10,1.4909819639278554,0.1610760240883512,3.3287329351356507,8719
Harvey (2017),10,1.519038076152305,0.16191524193106954,3.3287329351356507,8719
Harvey (2017),10,1.5470941883767537,0.1626563121381452,3.3287329351356507,8719
Harvey (2017),10,1.5751503006012024,0.16329929617024544,3.3287329351356507,8719
Harvey (2017),10,1.6032064128256511,0.1638447932847752,3.3287329351356507,8719
Harvey (2017),10,1.6312625250501007,0.16429393681278487,3.3287329351356507,8719
