zip,n_edges,support_ratio_cdr,clustering_cdr,n_users,support_ratio_fb,clustering_fb
95006,1214.0,0.5354200988467874,0.12712699364522406,911,0.94815999,0.090719998
95124,1501.0,0.4397068620919387,0.09784140092892905,2073,0.80672997,0.089550003
94920,210.0,0.46190476190476193,0.12164195513548173,330,0.80755001,0.07158
94931,361.0,0.5844875346260388,0.10054313497432359,580,0.67027998,0.092380002
95376,2507.0,0.5321100917431193,0.12193985656471933,2010,0.90983999,0.085620001
95678,836.0,0.44258373205741625,0.08681976591715493,1562,0.81007999,0.086400002
94706,181.0,0.3701657458563536,0.06789517120109742,391,0.80111998,0.08495
94941,580.0,0.46206896551724136,0.09948060179892518,860,0.82108003,0.078529999
93933,907.0,0.5391400220507166,0.12283966033370579,881,0.90079999,0.09245
94560,1145.0,0.5283842794759825,0.10571082639806814,1582,0.90157998,0.093379997
93908,409.0,0.589242053789731,0.11130816949696638,640,0.9235,0.086900003
94572,143.0,0.5384615384615384,0.12535085006468774,228,0.84531999,0.090219997
94040,842.0,0.39667458432304037,0.08580949288394393,1442,0.70523,0.094310001
94571,292.0,0.4657534246575342,0.08126981011724892,394,0.98097998,0.10919
94951,84.0,0.4642857142857143,0.08713550592903144,129,0.77701998,0.094959997
94304,340.0,0.3029411764705882,0.07536685792474969,702,0.65113997,0.082539998
95403,1052.0,0.47433460076045625,0.09731286632371124,1503,0.87127,0.089230001
94025,864.0,0.4537037037037037,0.09285460196630937,1376,0.77285999,0.085919999
94553,1613.0,0.34035957842529446,0.08229221875648167,1766,0.92333001,0.08997
94585,255.0,0.42745098039215684,0.09612322271794704,429,0.83405,0.086400002
94401,655.0,0.4213740458015267,0.09633245543618368,1041,0.8524,0.087080002
95018,534.0,0.3707865168539326,0.0900085058971611,725,0.84039003,0.085189998
95620,1386.0,0.4790764790764791,0.10790868669053795,1031,0.96977001,0.1011
94945,910.0,0.37362637362637363,0.08330190386225113,1253,0.87330002,0.09302
93924,618.0,0.6051779935275081,0.1073078274764744,443,0.95618999,0.097669996
94609,376.0,0.43351063829787234,0.08457297552009209,671,0.56753999,0.072130002
94703,292.0,0.4212328767123288,0.07919644553389253,593,0.63744003,0.07942
94066,1094.0,0.5393053016453382,0.10503413760174082,1682,0.87436002,0.093099996
95138,789.0,0.5031685678073511,0.10671845645625633,857,0.71919,0.087420002
95610,1364.0,0.4142228739002933,0.09799672276676914,1826,0.76312,0.084119998
94028,339.0,0.5870206489675516,0.11695749002726386,379,0.80353677,0.082373373
95304,1830.0,0.646448087431694,0.13419858379705837,1669,0.81985998,0.087389998
95065,76.0,0.34210526315789475,0.048998960512214945,183,0.68099999,0.085309997
95113,143.0,0.3146853146853147,0.07403632400029868,328,0.28762022,0.090003595
95409,899.0,0.3248053392658509,0.07712260297321916,1082,0.79664999,0.088040002
94608,405.0,0.3654320987654321,0.07917142718518864,822,0.62541997,0.079230003
95472,732.0,0.5040983606557377,0.0911041937389356,963,0.92580998,0.09104
95650,239.0,0.5523012552301255,0.10991679741232457,398,0.87818003,0.08433
94103,810.0,0.44938271604938274,0.09342589745896489,1451,0.68212003,0.076559998
94552,130.0,0.676923076923077,0.11305440740473367,188,0.88463002,0.092929997
95202,523.0,0.45506692160611856,0.12361768614824457,632,0.60649002,0.077720001
95838,862.0,0.4802784222737819,0.09452180186988121,1112,0.89758998,0.08444
94578,859.0,0.44237485448195574,0.09196712673874634,1292,0.73418999,0.086240001
95833,317.0,0.5141955835962145,0.09133774781559027,527,0.77395999,0.085150003
95822,1197.0,0.44862155388471175,0.09983777493514494,1348,0.78457999,0.078910001
94503,928.0,0.4989224137931034,0.11522931911018007,960,0.92426997,0.10008
95673,656.0,0.5304878048780488,0.1099478453302865,928,0.89933002,0.083669998
94709,162.0,0.25308641975308643,0.04955185313824661,395,0.70815003,0.090120003
95821,442.0,0.416289592760181,0.10168138580867023,822,0.69779003,0.0823
94065,243.0,0.49382716049382713,0.08025906054888793,478,0.67299002,0.087269999
95382,2395.0,0.5369519832985387,0.1180768697964631,1968,0.92466003,0.09369
95690,66.0,0.3939393939393939,0.07458170207128058,127,0.94154,0.10582
94574,310.0,0.4290322580645161,0.10650590923182841,346,0.94089001,0.099739999
95709,804.0,0.6218905472636815,0.14042558191052304,608,0.76425999,0.088639997
95828,1666.0,0.414765906362545,0.10425048042978786,1750,0.85338002,0.089330003
95386,909.0,0.5951595159515951,0.11938017766212454,742,0.94847,0.095830001
95407,1501.0,0.41439040639573615,0.10495306683513857,1528,0.89774001,0.087710001
95062,399.0,0.3583959899749373,0.07415115459593788,743,0.90436,0.086800002
95212,2319.0,0.5028029322984044,0.12326773019906669,1720,0.83605999,0.092129998
94133,644.0,0.453416149068323,0.08990162671800961,1075,0.68269998,0.089170001
94611,279.0,0.4050179211469534,0.07442839782841859,582,0.67922997,0.071850002
94301,272.0,0.3639705882352941,0.08215309084224488,519,0.79273999,0.086220004
