event,GEOID,n_total,n_damaged,n_abandoned,n_rhigher,Abandoned_normalized,R_Higher_normalized,median_income,ec_tract,support_ratio_tract,volunteering_rate_tract
Harvey,48201350804,26,5,1,3,0.2,0.6,151827.0,,,
Harvey,48201410102,1,0,0,0,,,63222.0,,,
Harvey,48201411200,4,2,1,1,0.5,0.5,250001.0,1.0640694841930116,0.6474689886023294,0.0733717230843039
Harvey,48201411301,6,0,0,0,,,112790.0,,,
Harvey,48201412300,2,0,0,0,,,250001.0,1.1106713971104645,0.84119039713651,0.0808775184538072
Harvey,48201412400,2,0,0,0,,,250001.0,1.1104846617881523,0.8409744552367319,0.0808593347280334
Harvey,48201412700,4,1,0,1,0.0,1.0,156111.0,1.0068700000000004,0.8661599800000002,0.097070001
Harvey,48201412800,586,160,9,144,0.05625,0.9,250001.0,1.0068700000000004,0.8661599800000002,0.097070001
Harvey,48201412901,1,0,0,0,,,75769.0,,,
Harvey,48201412902,94,18,2,14,0.1111111111111111,0.7777777777777778,101907.0,,,
Harvey,48201413000,251,103,5,97,0.04854368932038835,0.941747572815534,140321.0,0.9068499800000002,0.6054900299999999,0.0610299999999999
Harvey,48201413100,112,38,3,34,0.07894736842105263,0.8947368421052632,250001.0,0.90684998,0.6054900299999999,0.06103
Harvey,48201413203,26,13,2,11,0.15384615384615385,0.8461538461538461,58952.0,,,
Harvey,48201413204,34,15,1,14,0.06666666666666667,0.9333333333333333,59931.0,,,
Harvey,48201413206,13,0,0,0,,,75078.0,,,
Harvey,48201413301,33,6,2,4,0.3333333333333333,0.6666666666666666,82302.0,,,
Harvey,48201413302,82,23,9,14,0.391304347826087,0.6086956521739131,128267.0,,,
Harvey,48201420300,28,3,0,3,0.0,1.0,90335.0,0.5905445746437997,0.7339821395778362,0.0483709226015831
Harvey,48201420700,243,105,16,84,0.1523809523809524,0.8,199659.0,0.637806693657216,0.7737086777891045,0.0617932984517362
Harvey,48201420800,393,99,12,78,0.12121212121212122,0.7878787878787878,250001.0,0.6394500100000002,0.7750899799999996,0.062259998
Harvey,48201420900,611,112,12,94,0.10714285714285714,0.8392857142857143,208082.0,1.0068700000000002,0.8661599800000004,0.0970700009999999
Harvey,48201421000,20,5,2,2,0.4,0.4,149963.0,1.0068700000000002,0.86615998,0.0970700009999999
Harvey,48201421501,9,0,0,0,,,32424.0,,,
Harvey,48201421602,122,16,1,12,0.0625,0.75,43235.0,,,
Harvey,48201421700,13,1,0,1,0.0,1.0,77837.0,0.5526807155000003,0.7379153433947364,0.0453514731921052
Harvey,48201421801,1,1,1,0,1.0,0.0,43020.0,,,
Harvey,48201421802,79,15,5,5,0.3333333333333333,0.3333333333333333,118344.0,,,
Harvey,48201421900,58,6,0,6,0.0,1.0,158125.0,0.6394500100000001,0.7750899799999998,0.062259998
Harvey,48201422601,53,5,1,2,0.2,0.4,48355.0,,,
Harvey,48201422900,8,2,2,0,1.0,0.0,44167.0,0.46298,0.7308300099999999,0.02658
Harvey,48201423201,4,0,0,0,,,74194.0,0.47924,0.56155998,0.02413
Harvey,48201430200,2,0,0,0,,,71154.0,0.9309800300000002,0.8295599799999999,0.06318
Harvey,48201430300,2,0,0,0,,,250001.0,0.9180937455575908,0.8213361929791617,0.0619863935003434
Harvey,48201430400,1,0,0,0,,,250001.0,0.9168681409568,0.8205540349216,0.0618728705043199
Harvey,48201430900,29,6,1,5,0.16666666666666666,0.8333333333333334,89674.0,0.9309800299999996,0.8295599800000003,0.0631799999999999
Harvey,48201431001,1,0,0,0,,,105667.0,,,
Harvey,48201431002,42,8,3,5,0.375,0.625,101505.0,,,
Harvey,48201431101,86,3,2,1,0.6666666666666666,0.3333333333333333,52286.0,0.6604300099999999,0.65689999,0.0381200019999999
Harvey,48201431102,1,0,0,0,,,54614.0,0.6604300099999999,0.6568999900000001,0.0381200019999999
Harvey,48201431204,13,0,0,0,,,74807.0,,,
Harvey,48201431600,12,4,1,3,0.25,0.75,121940.0,0.7643896575,0.6911859871897373,0.0496483420357995
Harvey,48201431701,11,0,0,0,,,107868.0,,,
Harvey,48201431702,1,0,0,0,,,192443.0,,,
Harvey,48201440101,3,0,0,0,,,32687.0,,,
Harvey,48201450402,20,4,2,1,0.5,0.25,110197.0,,,
Harvey,48201450500,358,27,0,20,0.0,0.7407407407407407,176198.0,0.95252001,0.8841400099999999,0.070179999
Harvey,48201450600,317,50,2,37,0.04,0.74,71335.0,0.95252001,0.8841400099999999,0.0701799989999999
Harvey,48201450700,747,152,18,118,0.11842105263157894,0.7763157894736842,233542.0,0.950212988461538,0.8782942615462005,0.0694302699630088
Harvey,48201450801,84,19,3,12,0.15789473684210525,0.631578947368421,77824.0,0.66885,0.6403599999999999,0.036529999
Harvey,48201450803,88,15,3,9,0.2,0.6,53209.0,,,
Harvey,48201451100,13,2,1,1,0.5,0.5,80585.0,0.7795525824667836,0.6721014242817748,0.0416894280366006
Harvey,48201451200,185,21,1,17,0.047619047619047616,0.8095238095238095,154981.0,0.8507999800000003,0.6925299799999998,0.04501
Harvey,48201451501,3,1,0,1,0.0,1.0,67984.0,,,
Harvey,48201451502,54,3,0,3,0.0,1.0,51898.0,,,
Harvey,48201451604,87,10,4,5,0.4,0.5,129250.0,,,
Harvey,48201452900,33,3,1,0,0.3333333333333333,0.0,62353.0,0.5641499799999999,0.8287900100000003,0.0236000009999999
Harvey,48201453001,13,0,0,0,,,54196.0,,,
Harvey,48201453002,226,8,1,4,0.125,0.5,65678.0,,,
